measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2012,1993123.092493829,4126218.5568461735,905806.5156937445
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2012,241.04171515978044,371.28133648153033,116.9256528681825
1,Deaths,102,United States of America,3,Both,22,All ages,542,Neurological disorders,1,Number,2011,211430.07676976372,440776.21220053587,92815.49858612014
1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2011,40.5730680053935,75.61494142108835,19.81885859033229
1,Deaths,163,India,3,Both,22,All ages,542,Neurological disorders,1,Number,2013,151072.44249991278,299601.673208305,76249.15040638242
1,Deaths,163,India,3,Both,22,All ages,558,Mental disorders,1,Number,2013,2.645765508342724,15.88070552746608,0.4371531192393376
1,Deaths,6,China,3,Both,22,All ages,558,Mental disorders,1,Number,2012,27.56174071478212,39.47225002340308,16.127540468725407
1,Deaths,95,United Kingdom,3,Both,22,All ages,542,Neurological disorders,1,Number,2011,46823.92749963095,95254.36816585857,22266.94129240093
1,Deaths,95,United Kingdom,3,Both,22,All ages,558,Mental disorders,1,Number,2011,11.367079155276437,19.797609689600087,4.788797636826767
1,Deaths,102,United States of America,3,Both,22,All ages,542,Neurological disorders,1,Number,2014,226759.35128386997,466717.4890273825,101365.01736995108
1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2014,41.529226759478846,75.83191140062179,20.327306788900483
1,Deaths,81,Germany,3,Both,22,All ages,542,Neurological disorders,1,Number,2013,82786.93406171974,175484.92563360152,36871.321965569994
1,Deaths,81,Germany,3,Both,22,All ages,558,Mental disorders,1,Number,2013,23.69791563788207,48.8402288426538,11.265525561819972
1,Deaths,6,China,3,Both,22,All ages,542,Neurological disorders,1,Number,2012,416104.81823473144,929909.9605258277,169504.9309308321
1,Deaths,95,United Kingdom,3,Both,22,All ages,542,Neurological disorders,1,Number,2014,51402.097772257635,103340.51038064566,24637.150532941498
1,Deaths,95,United Kingdom,3,Both,22,All ages,558,Mental disorders,1,Number,2014,10.1098832111447,19.75498774506596,4.738428829942049
1,Deaths,163,India,3,Both,22,All ages,542,Neurological disorders,1,Number,2012,142444.94708722548,275404.6956287729,74082.64963780205
1,Deaths,163,India,3,Both,22,All ages,558,Mental disorders,1,Number,2012,2.3809363923904496,15.180741291269642,0.3743007744242595
1,Deaths,81,Germany,3,Both,22,All ages,542,Neurological disorders,1,Number,2012,80193.7200101995,169652.06847634123,35623.22553207495
1,Deaths,81,Germany,3,Both,22,All ages,558,Mental disorders,1,Number,2012,23.503115959888973,48.58310521836476,11.361814450063514
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2011,1914752.8571724924,3976866.5402113027,876231.3168832667
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2011,239.63835904865036,369.5170831531679,115.69232314656226
1,Deaths,102,United States of America,3,Both,22,All ages,542,Neurological disorders,1,Number,2013,222867.99297320403,460580.7577082317,99299.67582247833
1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2013,40.11354532432964,74.43093673623646,20.186963142290626
1,Deaths,163,India,3,Both,22,All ages,542,Neurological disorders,1,Number,2011,137337.71760643006,265548.13966374606,71529.08449655821
1,Deaths,163,India,3,Both,22,All ages,558,Mental disorders,1,Number,2011,2.171308444522917,13.501916252361015,0.34503215605995385
1,Deaths,6,China,3,Both,22,All ages,558,Mental disorders,1,Number,2011,26.576222533117402,38.77363914613574,15.699596336909016
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,2014,2133984.060853131,4401812.561665594,965810.0315985153
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2014,242.2910448648086,373.624142175422,116.48131094888828
1,Deaths,102,United States of America,3,Both,22,All ages,542,Neurological disorders,1,Number,2012,216488.9304928894,450043.1066884965,95532.66156545567
1,Deaths,102,United States of America,3,Both,22,All ages,558,Mental disorders,1,Number,2012,40.37753688719355,74.51390058520604,20.341531612623566
1,Deaths,163,India,3,Both,22,All ages,542,Neurological disorders,1,Number,2014,157605.11545822167,318004.74433965154,78288.89381122922
1,Deaths,163,India,3,Both,22,All ages,558,Mental disorders,1,Number,2014,2.849050030522942,16.739656831488155,0.4561327709925137
1,Deaths,6,China,3,Both,22,All ages,542,Neurological disorders,1,Number,2011,399756.5076423771,887515.4447959394,165903.3082329042
1,Deaths,81,Germany,3,Both,22,All ages,542,Neurological disorders,1,Number,2011,77292.48531649433,163468.75155847592,34456.75209736921
1,Deaths,81,Germany,3,Both,22,All ages,558,Mental disorders,1,Number,2011,23.524776085170952,49.18866376141452,11.407552215710252
1,Deaths,81,Germany,3,Both,22,All ages,542,Neurological disorders,1,Number,2014,82030.67608567994,173817.63087480457,36635.50344449531
